Date,Exchange rate
27-04-18,1.2108
20-04-18,1.2282
13-04-18,1.2322
06-04-18,1.2274
30-03-18,1.232
23-03-18,1.236
16-03-18,1.228
09-03-18,1.2326
02-03-18,1.2314
23-02-18,1.2298
16-02-18,1.2442
09-02-18,1.2226
02-02-18,1.2446
26-01-18,1.2422
19-01-18,1.2238
12-01-18,1.213
05-01-18,1.2039
29-12-17,1.2022
22-12-17,1.1839
15-12-17,1.1778
08-12-17,1.1761
01-12-17,1.191
24-11-17,1.1936
17-11-17,1.1799
10-11-17,1.1648
03-11-17,1.1616
27-10-17,1.158
20-10-17,1.177
13-10-17,1.1837
06-10-17,1.1732
29-09-17,1.1813
22-09-17,1.1969
15-09-17,1.1959
08-09-17,1.2041
01-09-17,1.1878
25-08-17,1.1874
18-08-17,1.1748
11-08-17,1.1811
04-08-17,1.1754
28-07-17,1.1754
21-07-17,1.1655
14-07-17,1.1452
07-07-17,1.1396
30-06-17,1.1411
23-06-17,1.1196
16-06-17,1.1194
09-06-17,1.119
02-06-17,1.127
26-05-17,1.117
19-05-17,1.119
12-05-17,1.0926
05-05-17,1.0996
28-04-17,1.0895
21-04-17,1.0694
14-04-17,1.0625
07-04-17,1.0616
31-03-17,1.0698
24-03-17,1.0806
17-03-17,1.0742
10-03-17,1.0667
03-03-17,1.0552
24-02-17,1.058
17-02-17,1.0614
10-02-17,1.065
03-02-17,1.0792
27-01-17,1.069
20-01-17,1.063
13-01-17,1.0625
06-01-17,1.056
30-12-16,1.0552
23-12-16,1.0449
16-12-16,1.0456
09-12-16,1.0541
02-12-16,1.0666
25-11-16,1.0595
18-11-16,1.06
11-11-16,1.0882
04-11-16,1.1121
28-10-16,1.0934
21-10-16,1.0866
14-10-16,1.0985
07-10-16,1.1156
30-09-16,1.1238
23-09-16,1.1223
16-09-16,1.116
09-09-16,1.1214
02-09-16,1.1158
26-08-16,1.1237
19-08-16,1.1326
12-08-16,1.1172
05-08-16,1.108
29-07-16,1.1168
22-07-16,1.0968
15-07-16,1.1059
08-07-16,1.1038
01-07-16,1.1145
24-06-16,1.1126
17-06-16,1.1256
10-06-16,1.1281
03-06-16,1.133
27-05-16,1.114
20-05-16,1.1207
13-05-16,1.1294
06-05-16,1.1421
